itemId,category,name,rating,reviewContent,sentiment
100002528,beli-harddisk-eksternal,Kamal U.,5.0,bagus  mantap dah sesui pesanan,Positive
100002528,beli-harddisk-eksternal,yofanca m.,4.0,"Bagus, sesuai foto",Positive
100002528,beli-harddisk-eksternal,Lazada Customer,5.0,okkkkk mantaaaaaaapppp ... goood,Positive
100002528,beli-harddisk-eksternal,Lazada Customer,4.0,bagus sesuai,Positive
100002528,beli-harddisk-eksternal,Yosep M.,5.0,,Positive
100002528,beli-harddisk-eksternal,Deden,5.0,,Positive
100002528,beli-harddisk-eksternal,Yeana,5.0,,Positive
100002528,beli-harddisk-eksternal,nurfarida,1.0,bima,Negative
100003785,beli-harddisk-eksternal,Fadjar B.,1.0,baru 10 bulan layarnya dah bergaris,Negative
100003785,beli-harddisk-eksternal,agung p.,5.0,"Pesan rabu sore,minggu sore sampe,,barang sesuai specs mantab,tks lazada",Positive
100003785,beli-harddisk-eksternal,Hendra W.,5.0,,Positive
100004132,beli-harddisk-eksternal,Lazada Guest,1.0,"Mau tanya ini cicilnya pake apa ya,cc bkn?",Negative
100004132,beli-harddisk-eksternal,Yan M.,5.0,Apakah TV. Tsb. Suda ada anti gores..,Positive
100004505,beli-harddisk-eksternal,Andry M.,1.0,Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,Negative
100004505,beli-harddisk-eksternal,Leonard,4.0,Kualitas ok,Positive
100004505,beli-harddisk-eksternal,Lazada Guest,1.0,"Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",Negative
100004505,beli-harddisk-eksternal,Bun D.,3.0,Pengiriman super lama.. tapi datang juga sich,Neutral
100004505,beli-harddisk-eksternal,Fadoli,5.0,ok barang sampai dengan Baik.. smoga terus di pertahankan...,Positive
100004505,beli-harddisk-eksternal,Akun K.,5.0,,Positive
100004505,beli-harddisk-eksternal,rina,3.0,,Neutral
100004505,beli-harddisk-eksternal,Ega,5.0,,Positive
100004505,beli-harddisk-eksternal,Lazada Guest,5.0,Kalau mau cicilan gmna cra nya??,Positive
100004505,beli-harddisk-eksternal,Fitriyansah E.,5.0,barang sudah sampai dan bagus thanks lazada,Positive
100004505,beli-harddisk-eksternal,Lazada Guest,5.0,Pengiriman cepat sipplahhh.......,Positive
100005037,beli-harddisk-eksternal,Lazada Customer,5.0,Sampe Sekarang masih Ok ne laptop...,Positive
100006860,beli-harddisk-eksternal,DEUIS S.,5.0,,Positive
100006860,beli-harddisk-eksternal,Garna T.,3.0,,Neutral
100006860,beli-harddisk-eksternal,Muhammad R.,5.0,,Positive
100006860,beli-harddisk-eksternal,Aushaf,5.0,,Positive
100006860,beli-harddisk-eksternal,Lazada Guest,5.0,Pengiriman cepat..  Packaging good..  Barang oke. Thnks seller Thnks Lazada,Positive
100007498,beli-harddisk-eksternal,Amarullah,5.0,"Barang diterima dengan selamat.. Produk sesuai dengan deskripsi.. Barang nyape 3 hari ke pekanbaru,riau.. Terimakasih lazada dan kotakom pucang, laptopnya mantap..",Positive
100007498,beli-harddisk-eksternal,Hanurawan H.,5.0,,Positive
100010722,beli-harddisk-eksternal,Dwi,5.0,"Senang belanja disini,pelayanan oke,barang sesuai ekspektasi..order senin hari selasa malam udah nyampe + di settingin sxan sama kurirnya...pokoknya top deh..thanks Lazada",Positive
100010722,beli-harddisk-eksternal,Rosalina S.,4.0,belum test barangnya,Positive
100010722,beli-harddisk-eksternal,Wan D.,1.0,Sudah cape2 transfer tapi pesanan ditolak,Negative
100010722,beli-harddisk-eksternal,rusmana,5.0,,Positive
100010722,beli-harddisk-eksternal,Lazada Customer,3.0,,Neutral
100010722,beli-harddisk-eksternal,dini w.,5.0,,Positive
100010722,beli-harddisk-eksternal,dwi H.,5.0,,Positive
100010722,beli-harddisk-eksternal,HARYATI,5.0,,Positive
100010722,beli-harddisk-eksternal,firman S.,4.0,,Positive
100010722,beli-harddisk-eksternal,nirmala O.,4.0,,Positive
100010745,beli-harddisk-eksternal,Anggun W.,5.0,"Barang Ok, kualitas bagus dengan harga yg cukup miring, kualitas gambar juga ok, pengiriman lumayan, ga nyesel pokonya beli TV ini",Positive
100010745,beli-harddisk-eksternal,Fathin,5.0,Saya minat tapi kalau dikirim ke Gresik Jawa Timur bisa gak? Klo dr info pengiriman bebas tapi takut gk sampai.. Dan tanya apa ini sdh full HD apa blm? Terima kasih,Positive
100010745,beli-harddisk-eksternal,dendi i.,5.0,,Positive
100010745,beli-harddisk-eksternal,Eti A.,4.0,Pengn tivinya,Positive
100010745,beli-harddisk-eksternal,paramitha a.,5.0,,Positive
100010745,beli-harddisk-eksternal,Lazada Guest,5.0,Mantapppp barang nya,Positive
100010745,beli-harddisk-eksternal,Lazada Guest,3.0,Barang mulusss mantapppppp,Neutral
100015720,beli-harddisk-eksternal,Risa K.,5.0,,Positive
100015720,beli-harddisk-eksternal,Fuady S.,1.0,"Laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau, namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat? Di judul dikatakan core i7",Negative
100015720,beli-harddisk-eksternal,Ramadhana,5.0,"Barang sampai dengan aman. Kemampuan laptop sesuai dengan yang di iklankan. Hanya saja, laptop datang dengan DOS sehingga harus di install sendiri windows nya. Overall, it's worth the money.",Positive
100015720,beli-harddisk-eksternal,Jendra,5.0,Barang sampai 2 hari dengan selamat dan sesuai deskripsi,Positive
100015720,beli-harddisk-eksternal,Ade P.,5.0,Harga sangat murah mantep banget,Positive
100015720,beli-harddisk-eksternal,Lazada Guest,3.0,Murah banget itu enga salah kasih harga tau2 nati salah kasi info barang nya,Neutral
100015720,beli-harddisk-eksternal,Lazada Guest,1.0,Barang udah sampai tapi pas dinyalain g bisa. Gmn pertanggung jawaban lazada?,Negative
100015720,beli-harddisk-eksternal,yusuf,5.0,,Positive
100024235,beli-harddisk-eksternal,Wulandary,5.0,,Positive
100024235,beli-harddisk-eksternal,Lazada Guest,4.0,Klo dp1jt tanpa kartu kredit bisa gk? Brp bln pembayarannya dan sebulannya brp? -TerimaKsh,Positive
100024235,beli-harddisk-eksternal,Lazada Guest,1.0,untuk pemasangan di tembok apa ad pihak dari lazada yg memasang'a ? terima kasih,Negative
100027053,beli-harddisk-eksternal,I K.,5.0,,Positive
100027329,beli-harddisk-eksternal,Yoga T.,5.0,"Kapasitas HDD asli 1 TB, dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya",Positive
100027329,beli-harddisk-eksternal,Heri K.,5.0,barang sesuai dengan gambar,Positive
100027329,beli-harddisk-eksternal,Lazada Guest,4.0,"HD diterima dg packing bubble bagus, hanya tidak tertulis, barang elektronik, atw keterangan lain, agar penanganan lebih hati2 dan istimewa, ketika paket dalam perjalanan. Finally, 4bintang lhah...",Positive
100027616,beli-harddisk-eksternal,ACHMAD F.,5.0,"Mantap gan Barang sampai dengan selamat , Packing rapih , pokok Mantap lah !",Positive
100027616,beli-harddisk-eksternal,Lazada Customer,5.0,,Positive
100027616,beli-harddisk-eksternal,Era A.,5.0,,Positive
100027616,beli-harddisk-eksternal,Bilqis,5.0,Oke,Positive
100028438,beli-harddisk-eksternal,Dimas D.,5.0,"Saya sangat puas dengan barang.nya, kualitas barang sangat membantu HDD saya apabila jatuh dari atas, dan pengiriman rapi gk ada lecet kasih bintang 5 :) Dan Saya sangat tidak puas dengan peng",Positive
100028438,beli-harddisk-eksternal,Pembeli,4.0,Barang diterima dengan kondisi yang baik tapi packagingnya kurang,Positive
100028438,beli-harddisk-eksternal,KHAIRUNNISA.SYAN,5.0,"Suka banget sama barangnya packing nya rapi, pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini",Positive
100028438,beli-harddisk-eksternal,Devi P.,5.0,,Positive
100028438,beli-harddisk-eksternal,hady,5.0,,Positive
100028438,beli-harddisk-eksternal,Naufal Y.,5.0,,Positive
100030605,beli-harddisk-eksternal,Antonio G.,5.0,"Flashdisk ori, Packing bagus. Saya suka.Thx",Positive
100034104,beli-harddisk-eksternal,Lazada Customer,5.0,aman cepat pula,Positive
100034104,beli-harddisk-eksternal,Lazada Customer,5.0,,Positive
100034104,beli-harddisk-eksternal,Lazada Customer,4.0,Bagus ori kok cuma hanya aja 58 gb:( klo 63 gpp hilang 1 gb,Positive
